name,country,code,postal_code,population,place,capital,administrative_status,designation,website,wikipedia,wikidata
Saint-Cyprien,FR,66171,66750,11398,,,,,http://www.saint-cyprien.com,https://fr.wikipedia.org/wiki/Saint-Cyprien_%28Pyr%C3%A9n%C3%A9es-Orientales%29,Q752547
Saint-Féliu-d'Avall,FR,66174,66170,2918,,,,,http://www.saintfeliu-avall.com,https://fr.wikipedia.org/wiki/Saint-F%C3%A9liu-d%27Avall,Q191008
Saint-Jean-Pla-de-Corts,FR,66178,66490,2258,,,,,http://www.stjeanpladecorts.fr,https://fr.wikipedia.org/wiki/Saint-Jean-Pla-de-Corts,Q8657
Saint-Laurent-de-la-Salanque,FR,66180,66250,10010,,,,,http://www.saintlaurentdelasalanque.fr,https://fr.wikipedia.org/wiki/Saint-Laurent-de-la-Salanque,Q199847
Saint-Nazaire,FR,66186,66570,2785,,,,,http://www.saint-nazaire-en-roussillon.fr/,https://fr.wikipedia.org/wiki/Saint-Nazaire_%28Pyr%C3%A9n%C3%A9es-Orientales%29,Q1369456
Saint-Thibéry,FR,34289,34630,2963,,,,,http://ville-saint-thibery.fr,https://fr.wikipedia.org/wiki/Saint-Thib%C3%A9ry,Q733258
Salles-d'Aude,FR,11370,11110,3250,,,,,http://www.mairie-salles-d-aude.fr,https://fr.wikipedia.org/wiki/Salles-d%27Aude,Q204082
Salses-le-Château,FR,66190,66600,3752,,,,,http://www.salses-le-chateau.fr/,https://fr.wikipedia.org/wiki/Salses-le-Ch%C3%A2teau,Q821246
Sauvian,FR,34298,34410,5459,,,,,http://www.ville-sauvian.com,https://fr.wikipedia.org/wiki/Sauvian,Q1333777
Sérignan,FR,34299,34410,8123,,,,,https://www.ville-serignan.fr/,https://fr.wikipedia.org/wiki/S%C3%A9rignan,Q751619
Sigean,FR,11379,11130,5583,,,,,http://www.sigean.fr,https://fr.wikipedia.org/wiki/Sigean,Q380977
Thuir,FR,66210,66300,8173,,,,,http://www.thuir.fr/,https://fr.wikipedia.org/wiki/Thuir,Q199697
Torreilles,FR,66212,66440,3821,,,,,http://www.torreilles.fr,https://fr.wikipedia.org/wiki/Torreilles,Q752160
Tourbes,FR,34311,34120,1829,,,,,http://www.tourbes.fr/,https://fr.wikipedia.org/wiki/Tourbes,Q270361
Trouillas,FR,66217,66300,2257,,,,,,https://fr.wikipedia.org/wiki/Trouillas,Q199789
Valros,FR,34325,34290,1645,,,,,https://valros.fr/,https://fr.wikipedia.org/wiki/Valros,Q198629
Vendres,FR,34329,34350,2736,,,,,https://www.vendres.com/,https://fr.wikipedia.org/wiki/Vendres,Q262131
Vias,FR,34332,34450,5882,,,,,https://ville-vias.fr/,https://fr.wikipedia.org/wiki/Vias,Q815683
Villelongue-de-la-Salanque,FR,66224,66410,3301,,,,,http://www.villelongue-de-la-salanque.fr,https://fr.wikipedia.org/wiki/Villelongue-de-la-Salanque,Q1369473
Villeneuve-lès-Béziers,FR,34336,34420,4098,,,,,https://www.villeneuve-les-beziers.fr/,https://fr.wikipedia.org/wiki/Villeneuve-l%C3%A8s-B%C3%A9ziers,Q1322772
Villeveyrac,FR,34341,34560,3934,,,,,http://villeveyrac.fr,https://fr.wikipedia.org/wiki/Villeveyrac,Q1148000
Vivès,FR,66233,66490,173,,,,,,https://fr.wikipedia.org/wiki/Viv%C3%A8s,Q1153177
